Summary,Issue Type,Status,Priority,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Due Date,Labels,Description,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Custom field (Acceptance Criteria),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHS_CO_Provider Details and Billing Details are wrong,Defect,Open,Medium,10/8/2020 12:08,10/8/2020 12:24,10/8/2020 22:45,,,,,CO_EHS_KPHC_Integration,"*Issue -*

*Biller amount should be Write off or 0$ and Provider Details should be given as in Ready Set*

*Steps to Reproduce -*

*1) Create the lab order / Radiology in Ready Set*

*2) Verify the Health ConnectÂ whether the Order is created*

*3) Submit the Order in CernerÂ / RIS / PS360*

*4) Status Changed to Final Result in Health Connect.*

*5) Verify the Biller Details in Health connect.*Â 

*Actual Results -*

*Biller amount should be 0 and Provider Details should be given as in Ready Set*

*Expected Results -*

*Biller amount is 67.2$ and Provider Details is NOT as given as in Ready Set*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHS_CO_HL7 Messages are not created in Health connect,Defect,Open,High,10/8/2020 11:59,10/8/2020 12:28,10/8/2020 22:46,,,,,CO_EHS_KPHC_Integration,"*Issue -*

*HL7 Messages are not created in Health connect*

*Steps to Reproduce -*

*1) Create the lab order / Radiology in Ready Set*

*2) Verify the Health ConnectÂ whether the Order is created*

*3) Submit the Order in CernerÂ / RIS / PS360*

*4) Status Changed to Final Result in Health Connect.*

*5) Verify the HL7 Validation in Health Connect.*

*Actual Results -*

*HL7 should be created*

*Expected Results -*

*HL7 is not created*",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHS_CO_In cerner the status is not reflecting as completed,Defect,Open,High,10/7/2020 7:23,10/7/2020 8:58,10/7/2020 7:23,,,,,CO_EHS_KPHC_Integration,"*Issue: EHS_CO In cerner the status is not reflecting as completed*Â 

*Steps to Reproduce -*Â 

1) Login to Ready Set for Colorado Region with a MRN

2) Select the Varicella Lab order

3) Select the order

4) Assign to above tests

5) Order the selected tests

6) Login to KPHC for the same MRN and verify the order with order present with the status as blank

7) Login to Cerner with the same MRN

8) Navigate to the Result Entry to find the orderables is present

9) Navigate to the collections Enquiry

10) Navigate to the View -> Select Template

11) Select the CO template

12) Enter the MRN and click on SearchÂ 

13) Select the MRN and select the labels as zzzlabel

14) click on Label

15) Select the Order with all label types, Select the location as RRL CPÂ 

16) Click on Print

17) Status in Cerner changed to Dispatched

18) Select the Order and navigate to the Specimen Login

19) Click on Login to complete the Specimen Login

20)Â Status in Cerner changed to In-Lab and KPHC changed as In Process.Â 

21)Â Select the Order and navigate to the Results Entry

22) There are 2 drop downs present.Â 

23) Select values in the order and click on Verify

Actual results: In cerner after result entry the status is changing to In process

Expected results:after result entry the status should reflet as completed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHS_CO_All the lab orders are not getting reflected,Defect,Open,High,10/7/2020 7:11,10/8/2020 12:03,10/7/2020 7:11,,,,,CO_EHS_KPHC_Integration,"*Issue:*EHS_CO_All the lab orders are not getting reflected

*Steps to Reproduce -*Â 

1) Login to Ready Set for Colorado Region with a MRN

2) Select the Varicella Lab order

3) Select the order

4) Assign to above tests

5) Order the selected tests

6) Login to KPHC for the same MRN and verify the order with order present with the status as blank

7) Login to Cerner with the same MRN

8) Navigate to the Result Entry to find the orderables is present

9) Navigate to the collections Enquiry

10) Navigate to the View -> Select Template

11) Select the CO template

12) Enter the MRN and click on SearchÂ 

13) Select the MRN and select the labels as zzzlabel

14) click on Label

15) Select the Order with all label types, Select the location as RRL CPÂ 

16) Click on Print

17) Status in Cerner changed to Dispatched

18) Select the Order and navigate to the Specimen Login

19) Click on Login to complete the Specimen Login

20)Â Status in Cerner changed to In-Lab and KPHC changed as In Process.Â 

21)Â Select the Order and navigate to the Results Entry

22) There are 2 drop downs present.Â 

23) Select values in the order and click on Verify

Actual results:Â All the lab orders are not getting reflected

Expected results:All the lab orders sholud get reflected back to readyset",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHS_CO_Unable to find the lab order in order results viewer in cerner,Defect,Open,High,10/7/2020 6:54,10/7/2020 7:20,10/7/2020 7:02,,,,,CO_EHS_KPHC_Integration,"Issue: Unable to find the lab order in Order results viewer in cerner

Steps to reprodue:

1) Login to Ready Set for Colorado Region with a MRN

2) Select the Varicella Lab order

3) Select the order

4) Assign to above tests

5) Order the selected tests

6) Login to KPHC for the same MRN and verify the order with order present with the status as blank

7) Login to Cerner with the same MRN

8) Navigate to the Result Entry to find the orderables is present

9) Navigate to the collections Enquiry

10) Navigate to the View -> Select Template

11) Select the CO template

12) Enter the MRN and click on SearchÂ 

13) Select the MRN and select the labels as zzzlabel

14) click on Label

15) Select the Order with all label types, Select the location as RRL CPÂ 

16) Click on Print

Â 

Â 

Expected result: Should be able to reflect to order results viewer in cerner as dispatched

Actual result: Present as Pending in Collections Inquiry; as soon as we perform the Collections Inquiry it disappears in Collections Inquiry. In order results it is still showing as Scheduled and not changed to Dispatched",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHS_CO_orders not reflecting in Health Connect ,Defect,Open,High,10/7/2020 5:46,10/7/2020 7:26,10/7/2020 7:26,,,,,CO_EHS_KPHC_Integration,"Issue : lab ordersÂ HEPATITIS C VIRUS RNA, QUANTITATIVE,HIV 1/2 Antigen and Antibody,HIV-1/HIV-2 Antibodies by EIA areÂ not reflecting in KPHC and Cerner

Steps to reproduce:

1) Login to Ready Set for Colorado Region with a MRN

2) Select theÂ HEPATITIS C VIRUS RNA, QUANTITATIVE, PCR,Lab order

3) Select the Location and contactÂ 

4) Assign to above tests

5) Order the selected tests

6) Login to KPHC for the same MRN and verify the order with order present with the status as blank

Â 

Â Expected Result: Order should reflect in KPHC with the status as blank

Actual Result : unable to view the order in KPHC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHS_CO_Could not Complete the Vericella Orderables in Cerner & KPHC,Defect,Complete,Medium,10/6/2020 3:49,10/7/2020 5:33,10/8/2020 22:46,,,,,CO_EHS_KPHC_Integration,"Issue -Â 

EHS_CO_Could not Complete the Vericella Orderables

Steps to Reproduce -Â 

1) Login to Ready Set for Colorado Region with a MRN

2) Select the Varicella Lab order

3) Select the order

4) Assign to above tests

5) Order the selected tests

6) Login to KPHC for the same MRN and verify the order with order present with the status as blank

7) Login to Cerner with the same MRN

8) Navigate to the Result Entry to find the orderables is present

9) Navigate to the collections Enquiry

10) Navigate to the View -> Select Template

11) Select the CO template

12) Enter the MRN and click on SearchÂ 

13) Select the MRN and select the labels as zzzlabel

14) click on Label

15) Select the Order with all label types, Select the location as RRL CPÂ 

16) Click on Print

17) Status in Cerner changed to Dispatched

18) Select the Order and navigate to the Specimen Login

19) Click on Login to complete the Specimen Login

20)Â Status in Cerner changed to In-Lab and KPHC changed as In Process.Â 

21)Â Select the Order and navigate to the Results Entry

22) There are 2 drop downs present.Â 

23) Select values in the order and click on Verify

*Expected results -*Â 

Should beÂ Able to select both the valuesÂ 

Cerner order should be changed as Complete

KPHC Order should be changed as Final Results

Â 

*Actual results -*Â 

NOT Able to select both the valuesÂ 

Cerner order changed as In ProcessÂ 

KPHC Order Still as InProcess.Â 

Â ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EHS_CO_Timestamps are shown as only 10:00 PM in Cerner for Scheduled, Pending, Cancelled and Dispatched Status",Defect,Complete,Medium,10/5/2020 7:42,10/7/2020 5:35,10/6/2020 3:13,,,,,CO_EHS_KPHC_Integration,"Â 

Issue -Â 

EHS_CO_Could not Complete the Vericella Orderables

Steps to Reproduce -Â 

1) Login to Ready Set for Colorado Region with a MRN

2) Select the Varicella Lab order

3) Select the order

4) Assign to above tests

5) Order the selected tests

6) Login to KPHC for the same MRN and verify the order with order present with the status as blank

7) Login to Cerner with the same MRN

8) Navigate to the Result Entry to find the orderable is present (Verify the TimeStamp Ã¨ Time Stamp shows as 10:00 pm)

9) Navigate to the collections Enquiry

10) Navigate to the View -> Select Template

11) Select the CO template

12) Enter the MRN and click on SearchÂ 

13) Select the MRN and select the labels as zzzlabel (Verify the TimeStamp Ã¨ Time Stamp shows as 10:00 pm)

14) click on Label

15) Select the Order with all label types, Select the location as RRL CPÂ 

16) Click on Print

17) Status in Cerner changed to Dispatched (Verify the TimeStamp Ã¨ Time Stamp shows as 10:00 pm)

18) Select the Order and navigate to the Specimen Login (Verify the TimeStamp Ã¨ Time Stamp shows as 10:00 pm)

19) Click on Login to complete the Specimen Login

20)Â Status in Cerner changed to In-Lab and KPHC changed as In Process.Â 

21)Â Select the Order and navigate to the Results Entry (Verify the TimeStamp Ã¨ Time Stamp shows as 3:43 am which is actual time)

*Expected results -*Â 

Time Stamp in Cerner for all the status like In Lab, Pending, Scheduled, Dispatched, In Process, Canceled & CompletedÂ should be the actual time in which we sent the order from the Ready Set. Â 

*Actual results -*Â 

Time Stamp in Cerner for all the status like In Lab, Pending, Scheduled, Dispatched, In Process, Canceled & CompletedÂ is NOT the actual time in which we sent the order from the Ready Set.
|Cerner Status|Time Stamp|
|Scheduled|10:00 PM|
|Pending|10:00 PM|
|Dispatched|10:00 PM|
|In Process|3:43 AM (Actual Time)|
|Cancelled|10:00 PM|
|In lab|3:43 AM (Actual Time)|
|Completed|3:43 AM (Actual Time)|",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHS_CO_All the Lab orders not present in Readyset,Defect,Open,Medium,10/1/2020 8:57,10/7/2020 5:36,10/6/2020 5:47,,,,,CO_EHS_KPHC_Integration,"Issue : All the Lab orders present in Master list are not present in the Readyset

Steps to reproduce :

1.Login to Readyset

2.Select the region as Colorado

3.Select the patient

4.navigate to the order tests page

Actual result : We are not seeing all the 18 Lab ordersÂ 

Expected result : All the 18 Lab orders should be present",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EHS_CO_Unable to find Interface Monitor in KPHC,Defect,Complete,High,10/1/2020 5:18,10/7/2020 5:42,10/8/2020 22:46,,,,,CO_EHS_KPHC_Integration,"Issue:Â Unable to find Interface Monitor in KPHC

Steps to Reproduce-

1.login into KPHC

2.Search for Interface Monitor

Actual Result-Getting no results for Interface Monitor

Expected Result-We should be able to find the Interface Monitor In KPHC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
